account,transaction_date,description_1,description_2,amount,amount_us,notes,category,sub_category
Credit Card 1,2023-05-09,"O'Connell, Koepp and Kunde",Marine Transportation,25.12,,,,
Bank 1,2022-09-08,Raynor-Senger,,-307.01,,,,
Bank 2,2022-12-31,Prosacco LLC,,-76.13,,,,
Bank 1,2023-03-23,"Quitzon, Halvorson and Rice",,-288.29,,,,
Bank 1,2022-06-17,"Dibbert, Corwin and VonRueden",n/a,-133.08,,,,
Credit Card 2,2022-09-01,"Wolf, Keebler and Bogisich",Diversified Financial Services,-637.08,,,,
Bank 2,2022-04-28,Russel-Kohler,Other Specialty Stores,173.67,,,,
Credit Card 2,2023-01-24,Padberg Group,Marine Transportation,597.55,,,,
Bank 1,2023-04-23,Abbott-Gislason,,80.48,,,,
Credit Card 1,2022-12-04,"Cole, Emard and Hand",Banks,-756.65,,,,
Credit Card 2,2022-11-15,Hyatt-Tremblay,,-149.36,,,,
Credit Card 1,2022-12-16,Lowe LLC,Real Estate Investment Trusts,-739.97,,,,
Credit Card 2,2022-09-20,Tremblay-Jast,Beverages (Production/Distribution),520.92,,,,
Credit Card 1,2022-10-04,"Green, Bartell and Jenkins",Real Estate,796.77,,,,
Bank 1,2022-08-04,Rath-Cormier,Telecommunications Equipment,50.53,,,,
Credit Card 1,2023-04-21,"Ortiz, Kuvalis and Schumm",,741.16,,,,
Credit Card 2,2023-04-24,Kuvalis and Sons,Natural Gas Distribution,-220.64,,,,
Bank 1,2022-07-25,Oberbrunner Inc,Semiconductors,968.72,,,,
Credit Card 2,2022-05-31,Rempel LLC,,-195.51,,,,
Credit Card 1,2022-10-06,Robel-O'Conner,,-136.28,,,,
Bank 1,2022-04-25,Braun Inc,Industrial Machinery/Components,-377.51,,,,
Bank 2,2023-02-17,Larkin-Kuvalis,,507.8,,,,
Credit Card 2,2022-11-07,Grady-Haley,,787.6,,,,
Credit Card 2,2022-04-24,Ratke-Mante,Major Banks,-253.14,,,,
Bank 1,2022-04-10,Hudson-Ziemann,,-157.26,,,,
Credit Card 1,2022-02-13,Lockman-Larkin,,437.37,,,,
Bank 1,2023-04-29,Considine-Powlowski,,-410.88,,,,
Credit Card 2,2023-03-25,Hessel LLC,n/a,-380.42,,,,
Bank 1,2022-10-08,Ritchie Group,,-256.39,,,,
Credit Card 2,2022-04-14,Brakus Group,Miscellaneous,712.69,,,,
Credit Card 2,2022-06-25,Kris Inc,,-58.79,,,,
Credit Card 2,2022-12-24,Stamm Inc,,139.64,,,,
Credit Card 2,2023-02-27,Volkman Group,,-642.73,,,,
Credit Card 1,2022-09-02,Sauer and Sons,,-363.23,,,,
Credit Card 2,2022-07-02,Kiehn and Sons,Specialty Chemicals,-761.41,,,,
Bank 2,2022-11-12,"Turner, Hartmann and Frami",Environmental Services,-379.74,,,,
Credit Card 2,2022-03-05,Brekke-Collins,,-181.25,,,,
Bank 1,2022-11-30,"Sporer, Kohler and Cassin",Major Banks,-465.76,,,,
Credit Card 2,2022-06-01,"Ondricka, Heathcote and Welch",,351.31,,,,
Credit Card 1,2022-02-03,Osinski and Sons,Publishing,415.91,,,,
Bank 1,2022-09-05,"Jacobi, Mills and Hilpert",,-960.59,,,,
Credit Card 2,2022-06-28,Cremin Group,,-811.12,,,,
Bank 1,2022-07-12,"Hagenes, Zemlak and Nicolas",,215.14,,,,
Credit Card 1,2022-11-10,Zulauf LLC,,-12.47,,,,
Credit Card 2,2022-01-05,Denesik and Sons,n/a,-510.01,,,,
Bank 1,2022-10-25,Bruen LLC,Business Services,468.07,,,,
Credit Card 2,2022-11-03,"Hackett, Jakubowski and Stamm",,-922.99,,,,
Credit Card 1,2023-02-27,"Paucek, Abbott and Fahey",Consumer Electronics/Appliances,610.9,,,,
Credit Card 2,2022-10-27,Block-Leannon,Business Services,-251.16,,,,
Bank 1,2022-11-12,"Lesch, Dickens and Medhurst",,-105.11,,,,
Credit Card 1,2022-06-10,Zieme-Heller,,-705.53,,,,
Credit Card 1,2023-01-16,"Schulist, Marvin and Feil",,-874.24,,,,
Bank 1,2022-09-01,"Sanford, Hilll and Farrell",Industrial Machinery/Components,-357.81,,,,
Bank 1,2023-02-17,Sporer Inc,Industrial Machinery/Components,-604.71,,,,
Credit Card 2,2022-05-14,"Keebler, Bayer and Luettgen",Major Pharmaceuticals,-683.35,,,,
Bank 2,2022-07-14,"Jakubowski, Reilly and Abernathy",,-992.25,,,,
Bank 2,2023-03-26,Metz-Beatty,Major Banks,437.61,,,,
Bank 1,2022-08-22,Schulist Group,Metal Fabrications,-99.96,,,,
Bank 1,2022-01-30,Schinner-Weissnat,,-692.57,,,,
Credit Card 1,2022-01-10,Rippin Group,n/a,-897.15,,,,
Credit Card 1,2023-01-26,Padberg-Walter,Major Banks,920.89,,,,
Bank 2,2022-12-25,Dickens-Treutel,,-59.13,,,,
Bank 1,2022-08-16,"Rolfson, Deckow and Fritsch",Newspapers/Magazines,751.7,,,,
Bank 1,2022-06-29,"Barrows, Rau and Murphy",Homebuilding,300.45,,,,
Credit Card 2,2022-06-02,Turner-Bernhard,,621.3,,,,
Credit Card 2,2022-02-01,Friesen Inc,,508.82,,,,
Bank 1,2022-04-16,"Fahey, Zboncak and Kuhlman",Oil & Gas Production,-807.86,,,,
Bank 1,2023-01-15,"Hudson, Gibson and Bartell",n/a,-580.56,,,,
Credit Card 1,2022-12-26,Kshlerin-Heaney,Biotechnology: Biological Products (No Diagnostic Substances),-17.45,,,,
Bank 2,2023-04-07,Rogahn Inc,Railroads,-1.5,,,,
Bank 2,2022-11-04,Wolf Group,Property-Casualty Insurers,-133.48,,,,
Credit Card 1,2022-06-23,Veum LLC,,-689.89,,,,
Bank 2,2022-11-27,"Cole, Harber and Hudson",,753.52,,,,
Bank 1,2022-01-11,Ritchie Inc,n/a,856.68,,,,
Bank 1,2023-01-30,Altenwerth-Nader,Electric Utilities: Central,-923.4,,,,
Credit Card 1,2023-01-24,Pagac-Runolfsson,Advertising,364.23,,,,
Credit Card 2,2022-05-02,"Wisozk, Koepp and Runolfsdottir",Business Services,-408.85,,,,
Credit Card 1,2022-03-02,Marvin Group,Major Pharmaceuticals,-651.29,,,,
Bank 2,2022-05-14,"Doyle, Williamson and Hills",Industrial Specialties,923.72,,,,
Credit Card 1,2022-03-18,Rutherford Group,Auto Manufacturing,-979.4,,,,
Credit Card 1,2023-05-19,"Lockman, Dickens and Gorczany",,37.32,,,,
Credit Card 1,2022-05-17,"Stamm, Paucek and Dach",,-926.25,,,,
Credit Card 2,2022-03-22,"Lubowitz, Labadie and Mitchell",,638.58,,,,
Credit Card 2,2022-11-28,Hoeger-Weimann,Investment Managers,-48.79,,,,
Bank 2,2022-07-19,"Metz, Conn and Schulist",Medical/Dental Instruments,-323.36,,,,
Credit Card 2,2023-03-12,Powlowski and Sons,n/a,207.01,,,,
Bank 2,2022-07-12,Bartoletti-Johns,,239.38,,,,
Credit Card 1,2022-05-10,"Paucek, Barrows and Casper",Major Pharmaceuticals,865.89,,,,
Bank 1,2023-02-21,Treutel-Konopelski,,902.82,,,,
Bank 1,2022-12-14,"Romaguera, Romaguera and Goldner",,301.96,,,,
Credit Card 2,2022-02-13,Rosenbaum and Sons,Oil & Gas Production,865.86,,,,
Bank 2,2022-09-06,Donnelly and Sons,Industrial Machinery/Components,387.43,,,,
Credit Card 1,2023-01-29,"Bins, Jacobson and Herman",,-183.97,,,,
Credit Card 2,2022-11-25,"Schmidt, Beahan and Kessler",,565.35,,,,
Bank 1,2022-04-08,"Wolff, Lebsack and Reichert",,-955.13,,,,
Bank 2,2023-02-23,Jakubowski-Okuneva,Television Services,-424.36,,,,
Credit Card 1,2023-01-17,"Hagenes, Cummings and Ondricka",Precious Metals,-226.27,,,,
Credit Card 2,2022-03-27,Balistreri-O'Kon,EDP Services,-976.65,,,,
Credit Card 2,2022-06-09,"Price, Wisoky and Watsica",Apparel,776.65,,,,
Credit Card 1,2023-04-02,Lebsack Inc,Apparel,422.98,,,,
Credit Card 2,2023-05-09,Wintheiser-Koss,Natural Gas Distribution,-462.72,,,,
Bank 2,2023-05-12,"Hoppe, Schroeder and Mohr",,499.24,,,,
Credit Card 2,2022-09-04,Abernathy Inc,,-234.61,,,,
Bank 1,2023-03-07,Lind-Moore,,-304.77,,,,
Credit Card 2,2022-03-25,"Ernser, Walker and Powlowski",Diversified Commercial Services,126.81,,,,
Credit Card 1,2022-11-19,Cruickshank LLC,,248.46,,,,
Bank 1,2022-02-15,Schoen Group,Computer Software: Prepackaged Software,95.87,,,,
Bank 1,2022-08-15,Jerde Inc,Containers/Packaging,630.83,,,,
Credit Card 1,2022-06-02,Walter-Paucek,,396.14,,,,
Credit Card 2,2022-08-22,Deckow-Lemke,n/a,-752.85,,,,
Credit Card 1,2022-02-01,Herzog Inc,Major Pharmaceuticals,848.03,,,,
Bank 2,2022-03-04,Doyle LLC,,800.23,,,,
Bank 1,2023-02-01,Schinner-Stroman,Hotels/Resorts,728.88,,,,
Bank 1,2022-11-10,"Toy, Runolfsdottir and Mohr",Investment Bankers/Brokers/Service,77.22,,,,
Bank 2,2022-02-27,Kiehn LLC,,524.63,,,,
Bank 2,2022-02-10,"Will, Batz and Treutel",,-208.91,,,,
Credit Card 1,2022-03-26,Mills-Botsford,Metal Fabrications,606.2,,,,
Bank 1,2022-06-12,"Ratke, Dibbert and Lowe",,829.27,,,,
Credit Card 2,2023-02-06,Jacobson-Hoeger,,-779.58,,,,
Bank 2,2023-01-14,Dooley-Krajcik,,456.15,,,,
Bank 1,2022-07-19,"Goodwin, Connelly and Durgan",Major Banks,903.41,,,,
Credit Card 1,2023-05-14,Parisian-O'Connell,,383.61,,,,
Bank 2,2022-02-10,Pfeffer Group,,894.78,,,,
Bank 2,2022-06-10,"Gislason, Walsh and Hahn",Building operators,926.73,,,,
Bank 2,2022-11-21,"Willms, Farrell and Willms",Air Freight/Delivery Services,361.48,,,,
Bank 2,2022-12-31,Howell Group,Trucking Freight/Courier Services,362.47,,,,
Bank 2,2023-04-17,DuBuque-Green,,408.11,,,,
Bank 2,2022-10-11,Wyman-Murray,,50.07,,,,
Bank 2,2022-07-11,"Hoeger, Schuppe and Erdman",,-961.09,,,,
Credit Card 2,2022-03-14,Harris-Hettinger,,-904.72,,,,
Credit Card 2,2022-10-30,Zieme Inc,,-879.7,,,,
Credit Card 2,2023-01-31,O'Connell Inc,Investment Bankers/Brokers/Service,225.44,,,,
Bank 2,2022-04-06,Carroll Group,Marine Transportation,-165.37,,,,
Credit Card 1,2023-03-15,Reichel and Sons,n/a,-618.81,,,,
Credit Card 1,2023-04-17,Greenfelder-Dare,Coal Mining,786.04,,,,
Bank 1,2022-08-15,King LLC,Semiconductors,-212.29,,,,
Credit Card 2,2022-02-01,Jenkins LLC,,-6.08,,,,
Bank 1,2022-04-16,McLaughlin-Pollich,Specialty Insurers,-696.06,,,,
Bank 2,2022-05-15,"Denesik, Glover and Wilkinson",Auto Parts:O.E.M.,-135.63,,,,
Bank 2,2022-04-12,Kuhn-Berge,Air Freight/Delivery Services,-100.92,,,,
Credit Card 1,2022-09-06,Schoen and Sons,n/a,-191.29,,,,
Bank 1,2022-12-27,"Koepp, Glover and Davis",n/a,-746.57,,,,
Bank 2,2022-08-01,DuBuque-Wilderman,,932.84,,,,
Bank 1,2023-05-14,Murray LLC,Precious Metals,91.54,,,,
Credit Card 1,2022-10-13,Morar-Kuphal,Natural Gas Distribution,-716.29,,,,
Credit Card 1,2023-05-17,Rogahn Group,,636.67,,,,
Bank 2,2022-07-06,Mertz-Kiehn,,223.26,,,,
Credit Card 2,2022-07-24,Wintheiser Inc,,-398.73,,,,
Bank 2,2022-06-10,Padberg and Sons,,-676.05,,,,
Bank 2,2023-03-24,"O'Connell, Marquardt and O'Keefe",,-288.37,,,,
Bank 1,2022-07-28,Torphy-Kunde,,-413.72,,,,
Credit Card 1,2023-05-06,Hills-Parisian,Movies/Entertainment,570.25,,,,
Bank 1,2023-05-23,Block-Johns,n/a,-839.37,,,,
Credit Card 1,2022-01-15,Glover Group,Restaurants,346.08,,,,
Bank 2,2023-04-27,Schinner Group,Electronic Components,-226.25,,,,
Credit Card 2,2022-01-12,Bernier-Ratke,n/a,36.1,,,,
Credit Card 2,2022-12-16,Dare LLC,n/a,728.93,,,,
Credit Card 2,2022-03-25,"Price, Jacobi and Gislason",Medical/Dental Instruments,-94.95,,,,
Bank 2,2022-07-22,Hansen-Stamm,n/a,680.24,,,,
Credit Card 2,2022-11-01,Ondricka-Marks,,444.09,,,,
Credit Card 2,2022-01-01,"Cronin, Schmitt and Pollich",n/a,100.79,,,,
Credit Card 2,2022-10-22,Schinner-Osinski,,-20.39,,,,
Bank 1,2022-08-08,"Will, Corwin and Schoen",,820.39,,,,
Bank 2,2023-01-06,Schamberger and Sons,n/a,-642.74,,,,
Credit Card 1,2022-03-09,"Schaden, Hyatt and Wunsch",,316.24,,,,
Credit Card 1,2023-01-29,"Kassulke, Lindgren and Smith",Steel/Iron Ore,586.73,,,,
Credit Card 2,2023-03-31,Yost Inc,Movies/Entertainment,-390.09,,,,
Credit Card 1,2023-02-24,Emard-Sporer,,375.87,,,,
Credit Card 2,2022-07-27,"Sawayn, Romaguera and Rodriguez",Real Estate,98.02,,,,
Credit Card 2,2022-01-21,Torp LLC,Commercial Banks,-74.35,,,,
Bank 2,2023-05-23,Lubowitz-Orn,Oil & Gas Production,307.41,,,,
Bank 2,2023-02-15,Collins and Sons,Auto Manufacturing,-583.02,,,,
Credit Card 1,2022-01-21,"Stamm, Hahn and Hermann",Medical Specialities,279.43,,,,
Credit Card 1,2022-08-23,Hilll Group,,-436.04,,,,
Bank 2,2023-04-15,Koss Inc,,708.68,,,,
Bank 2,2022-02-14,Kilback LLC,,98.24,,,,
Credit Card 2,2023-01-05,Botsford-Mante,Specialty Insurers,899.71,,,,
Credit Card 1,2023-01-04,Windler-Labadie,Major Pharmaceuticals,-137.25,,,,
Bank 2,2023-02-10,Heidenreich Inc,Industrial Machinery/Components,-137.76,,,,
Credit Card 1,2022-02-23,Heidenreich-Thiel,,-779.16,,,,
Bank 1,2022-08-06,"Ratke, Trantow and Kub",,-331.38,,,,
Bank 2,2023-02-06,Barrows-Reichert,Metal Fabrications,537.95,,,,
Credit Card 1,2023-02-13,Corkery-Koss,Telecommunications Equipment,-278.2,,,,
Credit Card 2,2023-03-04,"Larson, MacGyver and Crist",,12.52,,,,
Credit Card 2,2022-04-15,Walter-Dietrich,,472.37,,,,
Bank 1,2022-03-02,"Hettinger, Adams and Cummings",,-903.93,,,,
Credit Card 2,2022-11-19,Moen LLC,,398.7,,,,
Credit Card 2,2022-03-30,Conroy-Veum,Containers/Packaging,-941.72,,,,
Credit Card 2,2022-06-01,"Hand, Shields and Feeney",,-885.09,,,,
Bank 2,2023-03-08,"Kozey, Borer and Emard",Oil & Gas Production,903.76,,,,
Credit Card 2,2023-04-26,Funk LLC,Apparel,-896.41,,,,
Credit Card 2,2022-07-30,Langworth-Kris,n/a,200.04,,,,
Bank 1,2022-03-20,Keebler-Fritsch,,756.72,,,,
Bank 1,2023-04-23,Rempel-Cummerata,Restaurants,749.56,,,,
Bank 2,2022-01-17,Towne LLC,,-82.07,,,,
Credit Card 1,2022-02-07,Mueller LLC,Diversified Commercial Services,-268.07,,,,
Bank 1,2022-11-08,Satterfield-Cartwright,,379.47,,,,
Credit Card 2,2022-04-12,Robel Inc,,-692.59,,,,
Credit Card 1,2022-06-09,Douglas-Greenfelder,,599.18,,,,
Credit Card 2,2022-10-12,Nolan Group,,224.39,,,,
Bank 1,2022-07-14,Kunze-Balistreri,Major Pharmaceuticals,-601.08,,,,
Bank 2,2022-11-18,"Bashirian, Bayer and Marks",,-145.84,,,,
Credit Card 2,2022-02-10,"Schumm, Littel and Farrell",,641.77,,,,
Bank 2,2022-11-03,"Luettgen, Wolf and Little",Ordnance And Accessories,-550.56,,,,
Credit Card 2,2022-05-31,"Ebert, Erdman and Bode",,-358.58,,,,
Credit Card 1,2022-12-06,"Shields, Gibson and Leannon",,454.34,,,,
Bank 2,2022-02-09,Von and Sons,,517.03,,,,
Bank 2,2023-05-03,Mills and Sons,n/a,-510.9,,,,
Credit Card 1,2022-10-15,"Koelpin, Mills and Ankunding",,-327.59,,,,
Credit Card 1,2023-02-20,O'Keefe-Hahn,Major Banks,-127.87,,,,
Credit Card 2,2022-10-07,Walsh and Sons,,-725.74,,,,
Credit Card 2,2022-06-18,Bogan Group,Finance: Consumer Services,561.07,,,,
Bank 2,2023-02-01,Goldner Inc,Hotels/Resorts,163.69,,,,
Credit Card 1,2023-03-11,"Swift, Daugherty and Spinka",n/a,491.53,,,,
Credit Card 2,2022-07-30,Mann-Schmitt,Homebuilding,645.97,,,,
Bank 2,2022-02-15,Schulist Inc,Major Banks,926.03,,,,
Credit Card 1,2022-09-28,Wunsch-Lakin,Consumer Electronics/Appliances,855.13,,,,
Bank 1,2023-05-18,Carroll LLC,,17.36,,,,
Bank 2,2022-07-01,"Murphy, Brekke and Hilpert",Diversified Financial Services,826.63,,,,
Credit Card 1,2022-07-05,McCullough-Emard,RETAIL: Building Materials,-325.72,,,,
Credit Card 2,2022-07-15,Heaney LLC,n/a,136.8,,,,
Bank 2,2022-01-12,"Jenkins, Daugherty and Murray",,968.87,,,,
Credit Card 2,2022-09-15,Cummerata-Bailey,n/a,-117.08,,,,
Credit Card 1,2022-06-30,D'Amore-Walker,Major Pharmaceuticals,682.04,,,,
Bank 1,2022-08-23,Streich-Hessel,,-843.99,,,,
Bank 1,2022-01-18,Ortiz-Kertzmann,n/a,421.95,,,,
Bank 2,2022-01-18,"Nicolas, Hansen and Heathcote",Major Banks,-161.63,,,,
Credit Card 2,2022-11-07,"Ankunding, Haag and Kulas",Metal Fabrications,289.26,,,,
Bank 1,2023-03-03,Glover-Cummings,,334.73,,,,
Credit Card 1,2022-06-18,"O'Hara, Maggio and Klocko",,-504.28,,,,
Credit Card 1,2023-04-12,Herman LLC,,196.68,,,,
Credit Card 2,2023-04-02,Ferry-Raynor,Aluminum,485.22,,,,
Bank 2,2023-03-11,McKenzie and Sons,,-275.34,,,,
Credit Card 2,2022-08-08,Denesik Group,n/a,796.78,,,,
Bank 2,2022-05-04,Feil-Gutmann,Major Banks,-533.03,,,,
Credit Card 2,2023-05-12,Pollich and Sons,,-819.7,,,,
Bank 1,2022-05-30,Beahan Group,,-928.17,,,,
Credit Card 1,2022-12-22,Steuber Group,,95.27,,,,
Bank 2,2023-02-08,"Auer, Walker and Trantow",EDP Services,-900.48,,,,
Bank 1,2022-04-23,Cassin LLC,,843.4,,,,
Bank 1,2022-09-12,"Von, Kuphal and Prosacco",,-743.18,,,,
Bank 1,2023-03-02,Wolf Group,,-633.64,,,,
Bank 2,2022-04-07,"Mueller, Lesch and Skiles",,88.62,,,,
Bank 2,2023-01-05,Leffler Group,,-40.6,,,,
Bank 1,2022-12-24,Strosin-Kiehn,Broadcasting,382.06,,,,
Credit Card 2,2022-08-27,"Brown, Greenholt and Raynor",,743.73,,,,
Credit Card 2,2022-12-28,Stracke-Gibson,Aluminum,213.19,,,,
Bank 1,2023-04-16,Paucek-Wilkinson,n/a,203.93,,,,
Bank 1,2022-09-29,"Konopelski, O'Reilly and Mills",n/a,356.96,,,,
Credit Card 2,2022-01-19,"Grady, Langworth and Moen",n/a,-992.93,,,,
Credit Card 1,2023-01-03,"Quitzon, Blanda and Kuhn",Radio And Television Broadcasting And Communications Equipment,820.05,,,,
Bank 2,2022-08-23,Marquardt Inc,,-747.36,,,,
Bank 2,2022-05-22,Stehr LLC,,-387.41,,,,
Credit Card 1,2022-10-23,"Cole, Schoen and Luettgen",Office Equipment/Supplies/Services,265.21,,,,
Bank 1,2023-01-16,Kiehn Inc,,-697.27,,,,
Bank 2,2023-02-07,"Jaskolski, Prosacco and Morissette",Other Specialty Stores,82.09,,,,
Bank 1,2022-10-08,Hoppe LLC,,-909.95,,,,
Credit Card 1,2022-05-04,Leannon LLC,Electrical Products,-946.08,,,,
Bank 2,2022-01-25,"Harris, Kerluke and Brakus",n/a,306.69,,,,
Bank 1,2022-10-02,Pagac-Parisian,,981.19,,,,
Bank 1,2022-06-28,Lowe Group,Oil & Gas Production,-501.69,,,,
Bank 1,2022-06-10,Rolfson-Fahey,Real Estate Investment Trusts,406.39,,,,
Bank 2,2022-09-25,Predovic-Schuppe,"Computer Software: Programming, Data Processing",-928.87,,,,
Bank 2,2022-11-27,Jakubowski and Sons,,-864.47,,,,
Bank 2,2022-08-15,D'Amore-Tillman,,-453.03,,,,
Credit Card 2,2022-12-10,"Hand, Kihn and Block",Industrial Machinery/Components,-601.73,,,,
Bank 2,2022-08-03,"Bode, Rempel and Fahey",,-350.1,,,,
Credit Card 2,2022-05-29,"Nader, MacGyver and Boyle",,-222.4,,,,
Bank 1,2022-10-31,Ledner Inc,,300.45,,,,
Credit Card 2,2023-04-11,"Ryan, Kuhic and Price",,859.09,,,,
Credit Card 1,2022-09-23,Osinski-Watsica,,774.11,,,,
Credit Card 2,2022-08-02,Howell-Wiza,,-756.76,,,,
Credit Card 1,2022-07-22,"Baumbach, Hagenes and O'Conner",Shoe Manufacturing,392.3,,,,
Bank 2,2022-07-18,Blick LLC,Biotechnology: In Vitro & In Vivo Diagnostic Substances,288.28,,,,
Bank 2,2022-09-05,"White, Moen and Reilly",n/a,-428.28,,,,
Credit Card 2,2023-01-26,Rice-Gorczany,,530.0,,,,
Bank 1,2023-02-16,Bernhard-Swaniawski,n/a,-33.96,,,,
Credit Card 1,2022-10-01,Marvin-Labadie,Major Banks,-168.5,,,,
Bank 2,2022-01-12,Greenholt-Willms,,-461.08,,,,
Bank 2,2022-12-17,Bogisich Inc,,-683.02,,,,
Bank 1,2022-07-03,Gulgowski LLC,n/a,536.63,,,,
Credit Card 1,2023-04-11,Moen Inc,Medical Specialities,-530.33,,,,
Bank 2,2022-03-11,Larson-Heller,,9.84,,,,
Credit Card 2,2022-02-15,Skiles LLC,,-737.74,,,,
Credit Card 1,2023-04-29,Rosenbaum Inc,,663.38,,,,
Bank 2,2023-03-19,Vandervort Inc,,11.14,,,,
Bank 1,2023-01-06,O'Conner Group,,-504.43,,,,
Credit Card 1,2022-08-27,"Jaskolski, Willms and Macejkovic",n/a,640.06,,,,
Bank 2,2022-04-13,Kiehn-Jacobs,Automotive Aftermarket,17.1,,,,
Credit Card 2,2023-05-12,Mayert and Sons,Military/Government/Technical,711.25,,,,
Credit Card 1,2022-03-11,Farrell and Sons,,-199.34,,,,
Bank 2,2022-10-14,"Mosciski, Schmeler and Effertz",Major Pharmaceuticals,-624.74,,,,
Bank 2,2022-08-31,"Gerhold, Ankunding and Emard",,-135.5,,,,
Bank 2,2022-02-19,Gutmann-Murphy,,-350.97,,,,
Bank 1,2022-08-18,Shields-Brekke,,-984.81,,,,
Credit Card 2,2022-06-15,Donnelly and Sons,Books,559.71,,,,
Bank 1,2023-01-10,"Wisoky, Nicolas and Purdy",EDP Services,-54.82,,,,
Bank 1,2022-03-03,"Runte, Olson and Heidenreich",Specialty Chemicals,192.28,,,,
Bank 2,2022-08-29,Homenick-Zboncak,Aerospace,598.01,,,,
Credit Card 1,2023-03-13,"Schultz, Reilly and Pouros",Business Services,963.71,,,,
Credit Card 2,2022-10-25,Oberbrunner LLC,,-751.24,,,,
Credit Card 2,2022-04-21,VonRueden-Baumbach,,-402.78,,,,
Bank 1,2022-08-15,Muller Group,,-227.22,,,,
Credit Card 2,2022-01-12,Carter Inc,,708.2,,,,
Credit Card 2,2023-05-13,Hirthe and Sons,,-40.89,,,,
Credit Card 2,2022-10-19,"Kozey, Baumbach and Stiedemann",,-100.57,,,,
Bank 1,2022-03-27,Koepp and Sons,Medical/Dental Instruments,370.57,,,,
Credit Card 2,2022-01-10,Price-Beatty,,847.94,,,,
Credit Card 2,2022-12-14,Schmidt and Sons,n/a,-511.51,,,,
Credit Card 1,2022-03-03,Grady Group,n/a,-48.63,,,,
Credit Card 1,2022-12-07,"Wilkinson, Schamberger and Murphy",,251.86,,,,
Bank 1,2022-06-04,O'Kon-Erdman,,294.67,,,,
Bank 1,2022-09-13,Hane and Sons,,-516.66,,,,
Credit Card 2,2023-02-10,Greenholt-Bahringer,Medical/Dental Instruments,738.93,,,,
Bank 2,2023-01-13,Kuphal LLC,Oil & Gas Production,-566.95,,,,
Credit Card 2,2022-07-08,Roberts-Hilpert,Water Supply,170.66,,,,
Credit Card 2,2022-06-14,"Tremblay, Dickinson and Hane",,-603.95,,,,
Credit Card 1,2023-05-13,"Lynch, Schmeler and Lind",Computer peripheral equipment,802.47,,,,
Bank 2,2022-09-27,Pfannerstill-Kreiger,,77.73,,,,
Bank 1,2022-05-19,Bednar LLC,,596.88,,,,
Credit Card 2,2023-02-11,"Dach, Kuphal and Nolan",,226.76,,,,
Bank 1,2022-11-21,"Dach, Larkin and Schroeder",,51.12,,,,
Bank 2,2022-08-09,"Conn, Dicki and Lang",Business Services,773.07,,,,
Bank 1,2022-06-13,Stracke and Sons,,125.0,,,,
Bank 1,2022-12-15,Hintz-Osinski,Other Specialty Stores,-663.42,,,,
Bank 1,2023-02-25,"Reichert, Ullrich and Mosciski",Major Banks,368.12,,,,
Credit Card 1,2022-07-03,Crona-Jerde,,362.61,,,,
Credit Card 1,2023-04-21,Yost-Bashirian,Restaurants,-178.52,,,,
Credit Card 1,2022-06-01,Effertz-Pacocha,,416.73,,,,
Bank 2,2022-06-27,Funk Group,,802.26,,,,
Credit Card 1,2023-05-07,Olson-Carter,Commercial Banks,784.97,,,,
Credit Card 1,2022-03-05,"Considine, Hane and Schmeler",,100.93,,,,
Bank 1,2023-03-26,Cassin Group,,-92.05,,,,
Credit Card 2,2022-05-28,"Hintz, Daugherty and Witting",,-109.57,,,,
Bank 2,2022-05-16,"Jast, Lemke and Cronin",Medical Specialities,-34.53,,,,
Credit Card 1,2022-10-05,Cruickshank-Mertz,,-837.17,,,,
Credit Card 2,2023-02-21,Nitzsche-Herzog,Medical/Dental Instruments,145.99,,,,
Credit Card 1,2022-09-06,Bergnaum and Sons,,68.05,,,,
Credit Card 2,2022-01-23,"Cronin, Herzog and Heller",,-917.67,,,,
Bank 1,2022-03-10,Davis LLC,n/a,-860.95,,,,
Bank 2,2023-04-18,Kozey Inc,,884.32,,,,
Credit Card 1,2022-06-12,Weber-Gleichner,Other Specialty Stores,92.13,,,,
Bank 1,2023-01-12,Gislason Group,Oil & Gas Production,883.11,,,,
Bank 2,2022-10-07,Bogisich-Connelly,Major Pharmaceuticals,680.51,,,,
Credit Card 2,2022-12-18,Toy-Flatley,Restaurants,-186.5,,,,
Bank 2,2022-11-17,Hansen and Sons,Major Banks,68.78,,,,
Bank 1,2022-09-03,Abernathy-Sipes,Other Consumer Services,326.1,,,,
Bank 1,2022-10-12,"Morar, Hahn and Miller",Major Pharmaceuticals,576.3,,,,
Credit Card 1,2022-11-23,Kozey-Kuhn,,-942.41,,,,
Credit Card 1,2022-09-09,Kreiger LLC,,901.53,,,,
Bank 2,2022-11-14,Gutmann-Deckow,Oil & Gas Production,-895.74,,,,
Bank 2,2022-09-06,Mitchell-Rice,,750.73,,,,
Credit Card 1,2023-03-04,McKenzie-Schultz,,-176.76,,,,
Bank 1,2022-08-08,Kutch-Wyman,Telecommunications Equipment,-860.85,,,,
Credit Card 2,2022-04-04,McClure Group,,965.07,,,,
Bank 1,2023-02-08,Hirthe-Rutherford,,-188.77,,,,
Credit Card 2,2022-05-03,"Murphy, Armstrong and Barrows",n/a,-406.42,,,,
Credit Card 1,2023-05-17,Hauck-Rolfson,Semiconductors,-621.38,,,,
Credit Card 1,2022-09-10,"Thiel, Armstrong and Mills",,669.01,,,,
Bank 1,2022-03-20,Breitenberg Inc,n/a,74.08,,,,
